antibody_id,ensg_id,level_c,prest_id
61517,ENSG00000111058,cytoplasm,3070182
61528,ENSG00000136143,cytoplasm,3090201
61531,ENSG00000139405,nucleus,3070493
61546,ENSG00000131844,cytoplasm,3010169
61593,ENSG00000162231,nucleus,3970013
61607,ENSG00000162976,cytoplasm,3970082
61626,ENSG00000137947,nucleus,3760091
61627,ENSG00000177732,nucleus,4040486
61642,ENSG00000161544,nucleus,3970045
61644,ENSG00000161265,nucleus,3970022
61646,ENSG00000141867,nucleus,3930129
61662,ENSG00000163050,cytoplasm,3970122
61664,ENSG00000165678,cytoplasm,4000060
61695,ENSG00000166262,nucleus,3100358
61717,ENSG00000122779,nucleus,3500066
61750,ENSG00000095319,nucleus,2470042
61782,ENSG00000138780,nucleus,3000261
61785,ENSG00000161996,nucleus,3141033
61787,ENSG00000144857,nucleus,3760313
61788,ENSG00000139613,nucleus,3930035
61790,ENSG00000162642,nucleus,3970101
61791,ENSG00000153250,cytoplasm,3980002
61797,ENSG00000160803,nucleus,3950236
61801,ENSG00000106976,nucleus,3750012
61805,ENSG00000166068,nucleus,4000024
61823,ENSG00000276045,cytoplasm,4050104
61827,ENSG00000183255,nucleus,4050095
61841,ENSG00000157800,cytoplasm,3950188
61866,ENSG00000163166,nucleus,2930310
61873,ENSG00000105618,nucleus,3250098
61879,ENSG00000185619,nucleus,4050187
61896,ENSG00000164932,nucleus,2540474
61934,ENSG00000164151,nucleus,3460439
61949,ENSG00000132485,nucleus,3830208
61967,ENSG00000120875,nucleus,3730309
61982,ENSG00000078399,nucleus,4090078
62010,ENSG00000185787,nucleus,4050239
62015,ENSG00000172943,nucleus,4040292
62031,ENSG00000173889,nucleus,4040236
62044,ENSG00000100883,cytoplasm,3720460
62051,ENSG00000078687,nucleus,2500077
62059,ENSG00000172840,cytoplasm,4040230
62061,ENSG00000177034,cytoplasm,4040605
62067,ENSG00000178409,nucleus,4040492
62087,ENSG00000137714,cytoplasm,3890882
62115,ENSG00000168672,nucleus,4000314
62123,ENSG00000169375,nucleus,4000234
62124,ENSG00000169271,nucleus,4000315
62132,ENSG00000142546,nucleus,3280019
62142,ENSG00000168564,nucleus,4000237
62157,ENSG00000068097,cytoplasm,3860268
62160,ENSG00000177426,nucleus,3450153
62198,ENSG00000137770,nucleus,3100231
62208,ENSG00000172380,cytoplasm,4040227
62220,ENSG00000276293,nucleus,3930144
62226,ENSG00000196419,nucleus,3530017
62236,ENSG00000143815,nucleus,3410127
62239,ENSG00000173065,nucleus,3780031
62242,ENSG00000161243,nucleus,3970028
62254,ENSG00000115297,nucleus,4060167
62267,ENSG00000172216,nucleus,4040264
62269,ENSG00000168264,nucleus,4000179
62287,ENSG00000153406,nucleus,3160487
62291,ENSG00000164088,nucleus,3970196
62347,ENSG00000198933,nucleus,4050590
62391,ENSG00000105357,nucleus,3830109
62396,ENSG00000161542,cytoplasm,4080017
62405,ENSG00000013441,nucleus,3520015
