level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,"ENSG00000170122,ENSG00000184492,ENSG00000184659,ENSG00000187559,ENSG00000204779,ENSG00000273514","FOXD4,FOXD4L1,FOXD4L4,FOXD4L3,FOXD4L5,FOXD4L6","Q12950,Q9NU39,Q8WXT5,Q6VB84,Q5VV16,Q3SYB3"
nucleoplasm,ENSG00000135914,HTR2B,P41595
nucleoplasm,ENSG00000198842,DUSP27,Q5VZP5
nucleoplasm,ENSG00000152766,ANKRD22,Q5VYY1
cytosol,ENSG00000151025,GPR158,Q5T848
cytosol,ENSG00000124171,PARD6B,Q9BYG5
cytosol,ENSG00000116741,RGS2,P41220
nucleoplasm,ENSG00000118363,SPCS2,Q15005
cytosol,ENSG00000138772,ANXA3,P12429
cytosol,ENSG00000197646,PDCD1LG2,Q9BQ51
cytosol,ENSG00000134882,UBAC2,Q8NBM4
nucleoplasm,ENSG00000118985,ELL2,O00472
cytosol,ENSG00000123146,ADGRE5,P48960
cytosol,ENSG00000181016,LSMEM1,Q8N8F7
cytosol,ENSG00000186106,ANKRD46,Q86W74
nucleoplasm,ENSG00000089505,CMTM1,Q8IZ96
nucleoplasm,ENSG00000145332,KLHL8,Q9P2G9
nucleoplasm,ENSG00000140931,CMTM3,Q96MX0
cytosol,ENSG00000143126,CELSR2,Q9HCU4
nucleoplasm,ENSG00000076053,RBM7,Q9Y580
nucleoplasm,ENSG00000130584,ZBTB46,Q86UZ6
cytosol,ENSG00000163803,PLB1,Q6P1J6
cytosol,ENSG00000099785,MARCH2,Q9P0N8
nucleoplasm,ENSG00000108370,RGS9,O75916
cytosol,ENSG00000057704,TMCC3,Q9ULS5
nucleoplasm,ENSG00000198018,ENTPD7,Q9NQZ7
nucleoplasm,ENSG00000166881,NEMP1,O14524
nucleoplasm,ENSG00000111432,FZD10,Q9ULW2
cytosol,ENSG00000172572,PDE3A,Q14432
cytosol,ENSG00000176834,VSIG10,Q8N0Z9
cytosol,ENSG00000114859,CLCN2,P51788
nucleoplasm,ENSG00000166398,KIAA0355,O15063
nucleoplasm,ENSG00000173540,GMPPB,Q9Y5P6
cytosol,ENSG00000157800,SLC37A3,Q8NCC5
nucleoplasm,ENSG00000058799,YIPF1,Q9Y548
nucleoplasm,ENSG00000069188,SDK2,Q58EX2
nucleoplasm,ENSG00000148123,PLPPR1,Q8TBJ4
nucleoplasm,ENSG00000177311,ZBTB38,Q8NAP3
cytosol,ENSG00000114850,SSR3,Q9UNL2
cytosol,ENSG00000132481,TRIM47,Q96LD4
cytosol,ENSG00000142186,SCYL1,Q96KG9
cytosol,ENSG00000138071,ACTR2,P61160
nucleoplasm,ENSG00000143105,KCNA10,Q16322
cytosol,ENSG00000136731,UGGT1,Q9NYU2
cytosol,ENSG00000185158,LRRC37B,Q96QE4
cytosol,ENSG00000136636,KCTD3,Q9Y597
cytosol,ENSG00000137275,RIPK1,Q13546
nucleoplasm,ENSG00000102935,ZNF423,Q2M1K9
cytosol,ENSG00000104312,RIPK2,O43353
nucleoplasm,ENSG00000160325,CACFD1,Q9UGQ2
nucleoplasm,ENSG00000071794,HLTF,Q14527
nucleoplasm,ENSG00000165244,ZNF367,Q7RTV3
nucleoplasm,ENSG00000183943,PRKX,P51817
nucleoplasm,ENSG00000066422,ZBTB11,O95625
nucleoplasm,ENSG00000164463,CREBRF,Q8IUR6
nucleoplasm,ENSG00000086991,NOX4,Q9NPH5
nucleoplasm,ENSG00000124177,CHD6,Q8TD26
cytosol,ENSG00000165238,WNK2,Q9Y3S1
cytosol,ENSG00000076944,STXBP2,Q15833
nucleoplasm,ENSG00000126653,NSRP1,Q9H0G5
cytosol,ENSG00000138193,PLCE1,Q9P212
nucleoplasm,ENSG00000124299,PEPD,P12955
cytosol,ENSG00000097033,SH3GLB1,Q9Y371
cytosol,ENSG00000171155,C1GALT1C1,Q96EU7
nucleoplasm,ENSG00000134198,TSPAN2,O60636
cytosol,ENSG00000164841,TMEM74,Q96NL1
nucleoplasm,ENSG00000114904,NEK4,P51957
nucleoplasm,ENSG00000109685,WHSC1,O96028
nucleoplasm,ENSG00000015171,ZMYND11,Q15326
nucleoplasm,ENSG00000065526,SPEN,Q96T58
nucleoplasm,ENSG00000137075,RNF38,Q9H0F5
cytosol,ENSG00000152137,HSPB8,Q9UJY1
